link_preview.cpp	A	real (132 lines)	4667
link_preview_cache.cpp	C	size echo stub (4 json.size() calls, 7 lines)	900
link_preview_utils.cpp	C	broken header (8 garbage decls in link_preview_utils.hpp)	898
link_previewer.cpp	A	real (172 lines)	7207
live_draft.cpp	A	real (76 lines)	2962
live_location.cpp	A	real (734 lines)	26611
llm.cpp	A	real (223 lines)	6743
location_controller.cpp	B	auto-generated template header	18754
location_share.cpp	A	real (169 lines)	7148
location_sharing.cpp	A	real (214 lines)	7321
location_utils.cpp	A	real (89 lines)	3575
location_v2.cpp	A	real (58 lines)	1186
location_v4.cpp	A	real (830 lines)	37109
login_flow.cpp	A	real (288 lines)	10895
login_token_util.cpp	A	real (168 lines)	7010
login_utils.cpp	A	real (300 lines)	12193
markdown.cpp	A	real (331 lines)	10547
markdown_parser.cpp	A	real (190 lines)	8664
markdown_utils.cpp	A	real (152 lines)	6900
masquerade.cpp	A	real (48 lines)	1511
matrix_api.cpp	A	real (318 lines)	12477
matrix_error.cpp	A	real (155 lines)	8100
matrix_error_handler.cpp	B	auto-generated template header	18721
matrix_error_utils.cpp	C	broken header (9 garbage decls in matrix_error_utils.hpp)	504
matrix_events.cpp	B	auto-generated template header	33628
matrix_id_utils.cpp	A	real (168 lines)	6965
matrix_patterns.cpp	A	real (186 lines)	6906
media_compressor.cpp	A	real (138 lines)	5552
media_config_utils.cpp	A	real (4 lines)	279
media_download.cpp	A	real (150 lines)	6298
media_filter.cpp	A	real (86 lines)	2694
media_gallery.cpp	A	real (153 lines)	6045
media_progress_utils.cpp	C	size echo stub (2 json.size() calls, 5 lines)	508
media_scanner.cpp	A	real (159 lines)	6433
media_thumbnailer.cpp	A	real (144 lines)	5940
media_tools.cpp	B	auto-generated template header	32659
media_upload_manager.cpp	A	real (322 lines)	12536
media_upload_queue.cpp	C	size echo stub (4 json.size() calls, 7 lines)	890
media_upload_v4.cpp	A	real (613 lines)	25727
media_utils.cpp	A	real (119 lines)	4326
media_utils_ext.cpp	C	broken header (14 garbage decls in media_utils_ext.hpp)	911
media_utils_extra.cpp	A	real (0 lines)	0
media_viewer.cpp	A	real (343 lines)	12302
mega_0.cpp	C	hash echo stub (500 std::hash calls, 4007 lines)	140797
mega_1.cpp	C	hash echo stub (500 std::hash calls, 4007 lines)	140797
